si,t1,t2,v0i,vi,vi^2-v0i^2
50.00,102.3,73.80,,,
60.00,112.8,73.72,,,
70.00,127.7,73.64,,,
80.00,153.7,73.72,,,
90.00,199.0,73.70,,,
