f,Ur
100,0.517
200,1.104
300,1.812
400,2.593
460,2.775
470,2.845
480,2.855
490,2.617
500,2.888
510,2.423
520,2.256
530,2.643
540,2.324
550,2.563
600,2.772
700,2.317
800,1.949
900,1.68
1000,1.468
