E,R1,R2,R0,R0',delta_R0,delta_d,S,delta_S,delta_x,u,Ur,Rx,Rx±u
3,1000,1000,508.9,509,,4,,,,,,,
1.5,1000,1000,509.1,509.2,,2,,,,,,,
1.5,100,100,509.1,509.2,,4,,,,,,,
1.5,100,1000,5095,5097,,2,,,,,,,
1.5,10,1000,51300,50500,,2,,,,,,,
