T4,T4_avg,I4,x,T,T_avg,I_exp,I_thr,e
2.3188,,,5,2.6745,,,,
2.3007,,,10,2.6475,,,,
2.3429,,,15,2.7076,,,,
,,,20,3.3995,,,,
,,,25,3.4007,,,,
,,,,3.4131,,,,
,,,,4.3758,,,,
,,,,4.3819,,,,
,,,,4.3816,,,,
,,,,5.4744,,,,
,,,,5.469,,,,
,,,,5.4709,,,,
,,,,6.6035,,,,
,,,,6.5914,,,,
,,,,6.5986,,,,
,,
