D1,D1_avg,D2,D2_avg,D,D_avg,T2,T2_avg,T3,T3_avg,I_thr,I_exp,e
9.402,,9.94,,12.124,,1.6212,,1.449,,,,
9.41,,9.938,,12.25,,1.6214,,1.4461,,,,
9.412,,9.926,,12.272,,1.6141,,1.4479,,,,
,,,,,,,,,,,,
