m,ni+,ni-,ni_avg,n_delta
0.00,0.00,-0.20,,
1.00,0.42,0.65,,
2.00,1.28,1.36,,
3.00,1.97,2.00,,
4.00,2.68,2.70,,
5.00,3.42,3.52,,
6.00,4.10,4.20,,
7.00,4.80,4.80,,
