f,Ur
100,0.244
200,0.547
300,1.011
400,1.826
460,2.401
470,2.47
480,2.523
490,2.555
500,2.568
510,2.562
520,2.557
530,2.517
540,2.464
550,2.401
600,2.028
700,1.443
800,1.107
900,0.901
1000,0.763
